jhave@jhave-Ubuntu:~/Documents/Github/pytorch-poetry-generation/word_language_model$ python main_pf.py --cuda --model=LSTM --emsize=500 --nhid=500 --nlayers=5
| epoch   1 |   200/ 7591 batches | lr 20.00 | ms/batch 113.93 | loss  8.49 | ppl  4854.65
| epoch   1 |   400/ 7591 batches | lr 20.00 | ms/batch 111.75 | loss  7.84 | ppl  2547.55
| epoch   1 |   600/ 7591 batches | lr 20.00 | ms/batch 115.76 | loss  7.73 | ppl  2270.80
| epoch   1 |   800/ 7591 batches | lr 20.00 | ms/batch 113.95 | loss  7.58 | ppl  1955.00
| epoch   1 |  1000/ 7591 batches | lr 20.00 | ms/batch 113.83 | loss  7.48 | ppl  1769.25
| epoch   1 |  1200/ 7591 batches | lr 20.00 | ms/batch 113.64 | loss  7.31 | ppl  1498.85
| epoch   1 |  1400/ 7591 batches | lr 20.00 | ms/batch 114.60 | loss  7.23 | ppl  1386.46
| epoch   1 |  1600/ 7591 batches | lr 20.00 | ms/batch 113.50 | loss  7.20 | ppl  1343.00
| epoch   1 |  1800/ 7591 batches | lr 20.00 | ms/batch 113.46 | loss  7.17 | ppl  1297.53
| epoch   1 |  2000/ 7591 batches | lr 20.00 | ms/batch 113.48 | loss  6.98 | ppl  1078.46
| epoch   1 |  2200/ 7591 batches | lr 20.00 | ms/batch 113.46 | loss  6.85 | ppl   940.30
| epoch   1 |  2400/ 7591 batches | lr 20.00 | ms/batch 113.40 | loss  6.84 | ppl   935.69
| epoch   1 |  2600/ 7591 batches | lr 20.00 | ms/batch 113.45 | loss  6.81 | ppl   904.47
| epoch   1 |  2800/ 7591 batches | lr 20.00 | ms/batch 113.39 | loss  6.69 | ppl   804.74
| epoch   1 |  3000/ 7591 batches | lr 20.00 | ms/batch 113.35 | loss  6.73 | ppl   836.45
| epoch   1 |  3200/ 7591 batches | lr 20.00 | ms/batch 113.51 | loss  6.78 | ppl   880.87
| epoch   1 |  3400/ 7591 batches | lr 20.00 | ms/batch 113.27 | loss  6.59 | ppl   729.08
| epoch   1 |  3600/ 7591 batches | lr 20.00 | ms/batch 113.45 | loss  6.73 | ppl   834.16
| epoch   1 |  3800/ 7591 batches | lr 20.00 | ms/batch 114.74 | loss  6.55 | ppl   695.91
| epoch   1 |  4000/ 7591 batches | lr 20.00 | ms/batch 113.59 | loss  6.49 | ppl   659.90
| epoch   1 |  4200/ 7591 batches | lr 20.00 | ms/batch 113.68 | loss  6.53 | ppl   687.48
| epoch   1 |  4400/ 7591 batches | lr 20.00 | ms/batch 113.65 | loss  6.54 | ppl   689.06
| epoch   1 |  4600/ 7591 batches | lr 20.00 | ms/batch 116.13 | loss  6.29 | ppl   538.33
| epoch   1 |  4800/ 7591 batches | lr 20.00 | ms/batch 114.83 | loss  6.37 | ppl   582.02
| epoch   1 |  5000/ 7591 batches | lr 20.00 | ms/batch 113.52 | loss  6.36 | ppl   579.31
| epoch   1 |  5200/ 7591 batches | lr 20.00 | ms/batch 114.28 | loss  6.27 | ppl   528.11
| epoch   1 |  5400/ 7591 batches | lr 20.00 | ms/batch 114.19 | loss  6.35 | ppl   573.29
| epoch   1 |  5600/ 7591 batches | lr 20.00 | ms/batch 113.60 | loss  6.34 | ppl   566.97
| epoch   1 |  5800/ 7591 batches | lr 20.00 | ms/batch 114.34 | loss  6.25 | ppl   516.13
| epoch   1 |  6000/ 7591 batches | lr 20.00 | ms/batch 113.49 | loss  6.19 | ppl   486.08
| epoch   1 |  6200/ 7591 batches | lr 20.00 | ms/batch 113.79 | loss  6.33 | ppl   558.53
| epoch   1 |  6400/ 7591 batches | lr 20.00 | ms/batch 113.60 | loss  6.19 | ppl   487.26
| epoch   1 |  6600/ 7591 batches | lr 20.00 | ms/batch 113.65 | loss  6.27 | ppl   527.06
| epoch   1 |  6800/ 7591 batches | lr 20.00 | ms/batch 113.71 | loss  6.27 | ppl   528.95
| epoch   1 |  7000/ 7591 batches | lr 20.00 | ms/batch 113.54 | loss  6.26 | ppl   523.61
| epoch   1 |  7200/ 7591 batches | lr 20.00 | ms/batch 113.73 | loss  6.23 | ppl   506.42
| epoch   1 |  7400/ 7591 batches | lr 20.00 | ms/batch 113.65 | loss  6.36 | ppl   579.62
-----------------------------------------------------------------------------------------
