jhave@jhave-Ubuntu:~/Documents/Github$ ls
pytorch  pytorch-Poetry-Experiments  tensorflow-wavenet  TF-NLP-Experiments  Wavenet-for-Poem-Generation
jhave@jhave-Ubuntu:~/Documents/Github$ cd pytorch-Poetry-Experiments/
jhave@jhave-Ubuntu:~/Documents/Github/pytorch-Poetry-Experiments$ ls
word_language_model
jhave@jhave-Ubuntu:~/Documents/Github/pytorch-Poetry-Experiments$ cd word_language_model/
jhave@jhave-Ubuntu:~/Documents/Github/pytorch-Poetry-Experiments/word_language_model$ python main.py --cuda
| epoch   1 |   200/ 7591 batches | lr 20.00 | ms/batch 60.81 | loss  8.39 | ppl  4397.83
| epoch   1 |   400/ 7591 batches | lr 20.00 | ms/batch 56.47 | loss  7.40 | ppl  1637.20
| epoch   1 |   600/ 7591 batches | lr 20.00 | ms/batch 56.78 | loss  7.17 | ppl  1294.96
| epoch   1 |   800/ 7591 batches | lr 20.00 | ms/batch 57.22 | loss  6.98 | ppl  1070.89
| epoch   1 |  1000/ 7591 batches | lr 20.00 | ms/batch 58.64 | loss  6.89 | ppl   982.83
| epoch   1 |  1200/ 7591 batches | lr 20.00 | ms/batch 57.75 | loss  6.79 | ppl   886.33
| epoch   1 |  1400/ 7591 batches | lr 20.00 | ms/batch 57.63 | loss  6.74 | ppl   844.79
| epoch   1 |  1600/ 7591 batches | lr 20.00 | ms/batch 58.26 | loss  6.79 | ppl   887.99
| epoch   1 |  1800/ 7591 batches | lr 20.00 | ms/batch 58.66 | loss  6.74 | ppl   847.13
| epoch   1 |  2000/ 7591 batches | lr 20.00 | ms/batch 57.99 | loss  6.55 | ppl   696.42
| epoch   1 |  2200/ 7591 batches | lr 20.00 | ms/batch 58.04 | loss  6.48 | ppl   652.69
| epoch   1 |  2400/ 7591 batches | lr 20.00 | ms/batch 58.23 | loss  6.44 | ppl   627.50
| epoch   1 |  2600/ 7591 batches | lr 20.00 | ms/batch 58.34 | loss  6.47 | ppl   645.49
