jhave@jhave-Ubuntu:~/Documents/Github/pytorch-Poetry-Experiments/word_language_model$        main_pf.py --cuda
| epoch   1 |   200/ 7591 batches | lr 20.00 | ms/batch 59.96 | loss  8.39 | ppl  4397.83
| epoch   1 |   400/ 7591 batches | lr 20.00 | ms/batch 57.02 | loss  7.40 | ppl  1637.20
| epoch   1 |   600/ 7591 batches | lr 20.00 | ms/batch 58.59 | loss  7.17 | ppl  1294.96
| epoch   1 |   800/ 7591 batches | lr 20.00 | ms/batch 57.47 | loss  6.98 | ppl  1070.89
| epoch   1 |  1000/ 7591 batches | lr 20.00 | ms/batch 57.52 | loss  6.89 | ppl   982.83
| epoch   1 |  1200/ 7591 batches | lr 20.00 | ms/batch 57.58 | loss  6.79 | ppl   886.33
| epoch   1 |  1400/ 7591 batches | lr 20.00 | ms/batch 58.50 | loss  6.74 | ppl   844.79
| epoch   1 |  1600/ 7591 batches | lr 20.00 | ms/batch 59.55 | loss  6.79 | ppl   887.99
| epoch   1 |  1800/ 7591 batches | lr 20.00 | ms/batch 58.74 | loss  6.74 | ppl   847.13
| epoch   1 |  2000/ 7591 batches | lr 20.00 | ms/batch 58.13 | loss  6.55 | ppl   696.42
| epoch   1 |  2200/ 7591 batches | lr 20.00 | ms/batch 58.13 | loss  6.48 | ppl   652.69
| epoch   1 |  2400/ 7591 batches | lr 20.00 | ms/batch 58.26 | loss  6.44 | ppl   627.50
| epoch   1 |  2600/ 7591 batches | lr 20.00 | ms/batch 58.46 | loss  6.47 | ppl   645.49
| epoch   1 |  2800/ 7591 batches | lr 20.00 | ms/batch 58.24 | loss  6.36 | ppl   579.76
| epoch   1 |  3000/ 7591 batches | lr 20.00 | ms/batch 59.32 | loss  6.42 | ppl   612.28
| epoch   1 |  3200/ 7591 batches | lr 20.00 | ms/batch 59.71 | loss  6.48 | ppl   654.00
| epoch   1 |  3400/ 7591 batches | lr 20.00 | ms/batch 58.96 | loss  6.32 | ppl   554.71
| epoch   1 |  3600/ 7591 batches | lr 20.00 | ms/batch 60.01 | loss  6.49 | ppl   659.06
| epoch   1 |  3800/ 7591 batches | lr 20.00 | ms/batch 58.70 | loss  6.28 | ppl   531.30
| epoch   1 |  4000/ 7591 batches | lr 20.00 | ms/batch 58.58 | loss  6.25 | ppl   515.79
| epoch   1 |  4200/ 7591 batches | lr 20.00 | ms/batch 59.73 | loss  6.31 | ppl   552.18
| epoch   1 |  4400/ 7591 batches | lr 20.00 | ms/batch 58.81 | loss  6.32 | ppl   557.84
| epoch   1 |  4600/ 7591 batches | lr 20.00 | ms/batch 58.30 | loss  6.08 | ppl   436.31
| epoch   1 |  4800/ 7591 batches | lr 20.00 | ms/batch 58.61 | loss  6.17 | ppl   476.54
| epoch   1 |  5000/ 7591 batches | lr 20.00 | ms/batch 59.15 | loss  6.16 | ppl   474.13
| epoch   1 |  5200/ 7591 batches | lr 20.00 | ms/batch 59.64 | loss  6.08 | ppl   437.24
| epoch   1 |  5400/ 7591 batches | lr 20.00 | ms/batch 58.64 | loss  6.18 | ppl   483.06
| epoch   1 |  5600/ 7591 batches | lr 20.00 | ms/batch 58.37 | loss  6.16 | ppl   474.29
| epoch   1 |  5800/ 7591 batches | lr 20.00 | ms/batch 60.10 | loss  6.09 | ppl   439.93
| epoch   1 |  6000/ 7591 batches | lr 20.00 | ms/batch 59.53 | loss  6.04 | ppl   418.91
| epoch   1 |  6200/ 7591 batches | lr 20.00 | ms/batch 58.88 | loss  6.18 | ppl   481.25
| epoch   1 |  6400/ 7591 batches | lr 20.00 | ms/batch 58.90 | loss  6.04 | ppl   419.85
| epoch   1 |  6600/ 7591 batches | lr 20.00 | ms/batch 59.35 | loss  6.12 | ppl   454.28
| epoch   1 |  6800/ 7591 batches | lr 20.00 | ms/batch 58.17 | loss  6.14 | ppl   466.04
| epoch   1 |  7000/ 7591 batches | lr 20.00 | ms/batch 58.18 | loss  6.14 | ppl   464.02
| epoch   1 |  7200/ 7591 batches | lr 20.00 | ms/batch 58.80 | loss  6.10 | ppl   445.51
| epoch   1 |  7400/ 7591 batches | lr 20.00 | ms/batch 58.74 | loss  6.23 | ppl   505.90
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 458.68s | valid loss  6.08 | valid ppl   436.79
-----------------------------------------------------------------------------------------
SAVING: models/2017-02-06T17-39-04/model-LSTM-epoch_1-loss_6.08-ppl_436.79.pt
| epoch   2 |   200/ 7591 batches | lr 20.00 | ms/batch 58.22 | loss  6.03 | ppl   416.06
| epoch   2 |   400/ 7591 batches | lr 20.00 | ms/batch 58.78 | loss  6.01 | ppl   406.33
| epoch   2 |   600/ 7591 batches | lr 20.00 | ms/batch 58.66 | loss  6.08 | ppl   435.60
| epoch   2 |   800/ 7591 batches | lr 20.00 | ms/batch 58.74 | loss  5.99 | ppl   398.85
| epoch   2 |  1000/ 7591 batches | lr 20.00 | ms/batch 58.68 | loss  6.02 | ppl   409.92
| epoch   2 |  1200/ 7591 batches | lr 20.00 | ms/batch 58.41 | loss  5.99 | ppl   400.07
| epoch   2 |  1400/ 7591 batches | lr 20.00 | ms/batch 58.77 | loss  5.98 | ppl   396.11
| epoch   2 |  1600/ 7591 batches | lr 20.00 | ms/batch 58.31 | loss  6.05 | ppl   423.41
